구분,강간검거,강간발생,강도검거,강도발생,살인검거,살인발생,절도검거,절도발생,폭력검거,폭력발생,구별,lat,lng
강남,269,339,26,24,3,3,1129,2438,2096,2336,강남구,37.5094352,127.0669578
강동,152,160,13,14,5,4,902,1754,2201,2530,강동구,37.528511,127.1268224
강북,159,217,4,5,6,7,672,1222,2482,2778,강북구,37.63719740000001,127.0273048
강서,239,275,10,10,10,9,1070,1952,2768,3204,강서구,37.5513622,126.8502799
관악,264,322,10,12,7,6,937,2103,2707,3235,관악구,37.4743945,126.9513489
광진,234,279,6,11,4,4,1057,2636,2011,2392,광진구,37.5428231,127.0838395
구로,181,273,13,10,9,9,861,1910,2680,3164,구로구,37.5074418,126.8902237
금천,143,175,7,7,6,6,654,1264,1946,2193,금천구,37.4568129,126.8968061
남대문,52,57,4,5,1,1,429,946,832,890,중구,37.5547584,126.9734981
노원,142,159,9,6,6,5,740,1857,2124,2516,노원구,37.6421389,127.0710473
도봉,121,123,5,5,3,3,492,866,1309,1441,도봉구,37.6533589,127.052682
동대문,158,190,12,10,5,5,1071,1940,2377,2642,동대문구,37.58506149999999,127.0457679
동작,149,325,7,7,6,8,554,1226,1444,1661,동작구,37.5130866,126.9428498
마포,320,399,7,4,4,4,940,2527,2500,2939,마포구,37.550814,126.954028
방배,51,78,5,4,1,1,293,472,446,500,서초구,37.4945959,126.9831279
서대문,147,175,4,5,7,6,752,1503,1644,1976,서대문구,37.5647439,126.9667705
서부,49,54,2,4,4,4,389,781,980,1128,은평구,37.6020914,126.9213528
서초,220,350,5,9,4,4,814,1733,1583,1838,서초구,37.4956054,127.0052504
성동,78,104,5,3,5,4,896,1296,1408,1619,성동구,37.5617303,127.0364217
성북,75,103,3,3,2,2,381,790,1004,1176,성북구,37.58977830000001,127.016589
송파,184,234,12,15,8,9,1048,2543,2808,3289,송파구,37.5016941,127.1272481
수서,144,177,16,15,2,2,789,1149,1431,1666,강남구,37.49349,127.0772119
양천,108,131,7,7,5,5,755,1719,1918,2250,양천구,37.5167711,126.8656996
영등포,225,356,14,19,13,13,940,2341,3007,3593,영등포구,37.5260441,126.9008091
용산,214,251,10,9,4,4,599,1489,2008,2384,용산구,37.5387099,126.9659183
은평,93,102,5,5,2,2,501,885,1328,1536,은평구,37.6280204,126.9287899
종로,113,137,3,6,0,4,389,952,1135,1291,종로구,37.571824,126.9841533
종암,42,51,5,5,1,2,344,680,815,932,성북구,37.6036906,127.0400636
중랑,150,164,14,14,7,8,1052,1691,2712,3164,중랑구,37.6056429,127.0764866
중부,96,141,3,3,2,2,485,1204,1164,1335,중구,37.56361709999999,126.9896517
혜화,64,101,6,6,2,2,379,988,842,972,종로구,37.5719679,126.9989574
